x y C
30 46 49.0
30 47 58.0
31 0 39.0
31 1 26.0
31 2 37.0
31 3 42.0
31 4 28.0
31 5 32.0
31 6 42.0
31 7 55.0
31 8 54.0
31 9 60.0
31 10 65.0
31 11 70.0
31 12 69.0
31 13 74.0
31 14 75.0
31 15 64.0
31 16 66.0
31 17 60.0
31 18 56.0
31 19 60.0
31 20 46.0
31 21 44.0
31 22 41.0
31 23 30.0
31 24 27.0
31 25 20.0
31 26 14.0
31 27 16.0
31 28 23.0
31 29 22.0
31 30 11.0
31 31 5.0
31 32 5.0
31 33 9.0
31 34 9.0
31 35 16.0
31 36 22.0
31 37 23.0
31 38 27.0
31 39 31.0
31 40 34.0
31 41 38.0
31 42 43.0
31 43 47.0
31 44 43.0
31 45 44.0
31 46 50.0
31 47 59.0
32 0 42.0
32 1 29.0
32 2 40.0
32 3 45.0
32 4 31.0
32 5 35.0
32 6 45.0
32 7 58.0
32 8 57.0
32 9 63.0
32 10 68.0
32 11 73.0
32 12 72.0
32 13 77.0
32 14 78.0
32 15 67.0
32 16 69.0
32 17 63.0
32 18 59.0
32 19 63.0
32 20 49.0
32 21 47.0
32 22 44.0
32 23 33.0
32 24 30.0
32 25 23.0
32 26 17.0
32 27 19.0
32 28 26.0
32 29 25.0
32 30 14.0
32 31 8.0
32 32 8.0
32 33 12.0
32 34 12.0
32 35 19.0
32 36 25.0
32 37 26.0
32 38 30.0
32 39 34.0
32 40 37.0
32 41 41.0
32 42 46.0
32 43 50.0
32 44 46.0
32 45 47.0
32 46 53.0
32 47 62.0
33 0 38.0
33 1 25.0
33 2 36.0
33 3 41.0
33 4 27.0
33 5 31.0
33 6 41.0
33 7 54.0
33 8 53.0
33 9 59.0
33 10 64.0
33 11 69.0
33 12 68.0
33 13 73.0
33 14 74.0
33 15 63.0
33 16 65.0
33 17 59.0
33 18 55.0
33 19 59.0
33 20 45.0
33 21 43.0
33 22 40.0
33 23 29.0
33 24 26.0
33 25 19.0
33 26 13.0
33 27 15.0
33 28 22.0
33 29 21.0
33 30 10.0
33 31 4.0
33 32 4.0
33 33 8.0
33 34 8.0
33 35 15.0
33 36 21.0
33 37 22.0
33 38 26.0
33 39 30.0
33 40 33.0
33 41 37.0
33 42 42.0
33 43 46.0
33 44 42.0
33 45 43.0
33 46 49.0
33 47 58.0
34 0 33.0
34 1 20.0
34 2 31.0
34 3 36.0
34 4 22.0
34 5 26.0
34 6 36.0
34 7 49.0
34 8 48.0
34 9 54.0
34 10 59.0
34 11 64.0
34 12 63.0
34 13 68.0
34 14 69.0
34 15 58.0
34 16 60.0
34 17 54.0
34 18 50.0
34 19 54.0
34 20 40.0
34 21 38.0
34 22 35.0
34 23 24.0
34 24 21.0
34 25 14.0
34 26 8.0
34 27 10.0
34 28 17.0
34 29 16.0
34 30 5.0
34 31 1.0
34 32 1.0
34 33 3.0
34 34 3.0
34 35 10.0
34 36 16.0
34 37 17.0
34 38 21.0
34 39 25.0
34 40 28.0
34 41 32.0
34 42 37.0
34 43 41.0
34 44 37.0
34 45 38.0
34 46 44.0
34 47 53.0
35 0 35.0
35 1 22.0
35 2 33.0
35 3 38.0
35 4 24.0
35 5 28.0
35 6 38.0
35 7 51.0
35 8 50.0
35 9 56.0
35 10 61.0
35 11 66.0
35 12 65.0
35 13 70.0
35 14 71.0
35 15 60.0
35 16 62.0
35 17 56.0
35 18 52.0
35 19 56.0
35 20 42.0
35 21 40.0
35 22 37.0
35 23 26.0
35 24 23.0
35 25 16.0
35 26 10.0
35 27 12.0
35 28 19.0
35 29 18.0
35 30 7.0
35 31 1.0
35 32 1.0
35 33 5.0
35 34 5.0
35 35 12.0
35 36 18.0
35 37 19.0
35 38 23.0
35 39 27.0
35 40 30.0
35 41 34.0
35 42 39.0
35 43 43.0
35 44 39.0
35 45 40.0
35 46 46.0
35 47 55.0
36 0 37.0
36 1 24.0
36 2 35.0
36 3 40.0
36 4 26.0
36 5 30.0
36 6 40.0
36 7 53.0
36 8 52.0
36 9 58.0
36 10 63.0
36 11 68.0
36 12 67.0
36 13 72.0
36 14 73.0
36 15 62.0
36 16 64.0
36 17 58.0
