x y fscore
0.781 0.411 0.662
0.816 0.377 0.662
0.746 0.455 0.662
0.810 0.382 0.662
0.703 0.535 0.662
0.839 0.358 0.661
0.791 0.400 0.661
0.777 0.414 0.661
0.835 0.361 0.661
0.766 0.427 0.661
0.811 0.380 0.661
0.801 0.389 0.661
0.924 0.309 0.661
0.810 0.380 0.661
0.810 0.380 0.661
0.777 0.413 0.661
0.703 0.531 0.660
0.685 0.577 0.660
0.792 0.396 0.660
0.737 0.465 0.660
0.764 0.427 0.660
0.825 0.366 0.660
0.780 0.408 0.660
0.798 0.389 0.659
0.933 0.304 0.659
0.739 0.461 0.659
0.764 0.426 0.659
0.830 0.361 0.659
0.762 0.428 0.659
0.763 0.427 0.659
0.745 0.450 0.659
0.733 0.469 0.659
0.726 0.480 0.659
0.759 0.430 0.658
0.735 0.465 0.658
0.853 0.344 0.658
0.758 0.430 0.658
0.752 0.439 0.658
0.697 0.538 0.658
0.792 0.392 0.658
0.792 0.392 0.658
0.717 0.494 0.658
0.774 0.411 0.658
0.707 0.513 0.658
0.700 0.529 0.657
0.853 0.343 0.657
0.945 0.296 0.657
0.820 0.366 0.657
0.716 0.494 0.657
0.800 0.383 0.657
0.838 0.352 0.657
0.737 0.458 0.657
0.807 0.376 0.656
0.789 0.392 0.656
0.839 0.350 0.656
0.745 0.445 0.656
0.825 0.361 0.656
0.757 0.428 0.656
0.700 0.523 0.656
0.735 0.457 0.656
0.713 0.496 0.656
0.691 0.542 0.655
0.775 0.405 0.655
0.725 0.474 0.655
0.916 0.307 0.655
0.743 0.445 0.655
0.762 0.420 0.655
0.721 0.479 0.655
0.933 0.299 0.655
0.836 0.351 0.655
0.751 0.433 0.655
0.727 0.468 0.655
0.933 0.298 0.654
0.780 0.398 0.654
0.761 0.419 0.654
0.743 0.443 0.654
0.837 0.349 0.654
0.680 0.566 0.654
0.772 0.405 0.654
0.772 0.405 0.654
0.678 0.571 0.654
0.796 0.381 0.654
0.796 0.381 0.654
0.796 0.381 0.654
0.736 0.451 0.654
0.720 0.477 0.653
0.746 0.437 0.653
0.924 0.301 0.653
0.745 0.437 0.653
0.673 0.583 0.653
0.681 0.561 0.653
0.715 0.483 0.653
0.775 0.400 0.653
0.720 0.474 0.652
0.810 0.367 0.652
0.791 0.384 0.652
0.932 0.296 0.652
0.961 0.285 0.652
0.834 0.348 0.652
0.706 0.500 0.652
0.704 0.503 0.652
0.837 0.346 0.652
0.745 0.434 0.652
0.849 0.338 0.651
0.746 0.431 0.651
0.722 0.467 0.651
0.710 0.489 0.651
0.937 0.293 0.651
0.723 0.465 0.651
0.828 0.350 0.651
0.747 0.429 0.651
0.790 0.380 0.650
0.759 0.413 0.650
0.740 0.437 0.650
0.794 0.377 0.650
0.794 0.377 0.650
0.753 0.420 0.650
0.768 0.403 0.650
0.860 0.328 0.650
0.771 0.399 0.650
0.716 0.474 0.650
0.934 0.293 0.649
0.710 0.483 0.649
0.777 0.392 0.649
0.823 0.352 0.649
0.835 0.343 0.649
0.722 0.462 0.649
0.824 0.351 0.649
0.700 0.502 0.649
0.797 0.372 0.648
0.711 0.480 0.648
0.802 0.366 0.648
0.915 0.299 0.648
0.899 0.306 0.648
0.704 0.492 0.648
0.677 0.552 0.648
0.805 0.364 0.648
0.759 0.408 0.647
0.769 0.396 0.647
0.718 0.463 0.647
0.789 0.376 0.647
0.742 0.427 0.647
0.933 0.291 0.647
0.803 0.363 0.647
0.744 0.425 0.647
0.932 0.290 0.647
0.802 0.364 0.646
0.786 0.378 0.646
0.779 0.385 0.646
0.758 0.407 0.646
0.767 0.396 0.646
0.765 0.398 0.646
0.703 0.486 0.646
0.768 0.394 0.646
0.953 0.282 0.646
0.801 0.363 0.645
0.760 0.402 0.645
0.710 0.474 0.645
0.719 0.457 0.645
0.778 0.383 0.645
0.744 0.421 0.645
0.776 0.385 0.645
0.793 0.369 0.645
0.793 0.369 0.645
0.727 0.445 0.645
0.753 0.409 0.645
0.765 0.396 0.645
0.702 0.486 0.645
0.744 0.420 0.645
0.765 0.396 0.645
0.762 0.399 0.644
0.715 0.463 0.644
0.784 0.376 0.644
0.677 0.539 0.644
0.777 0.383 0.644
0.677 0.540 0.644
0.776 0.383 0.644
0.679 0.532 0.644
0.822 0.344 0.643
0.937 0.285 0.643
0.978 0.271 0.643
0.814 0.349 0.643
0.775 0.382 0.643
0.768 0.389 0.643
0.805 0.356 0.643
0.701 0.481 0.642
0.726 0.439 0.642
0.768 0.388 0.642
0.707 0.470 0.642
0.900 0.299 0.642
0.823 0.342 0.642
0.789 0.368 0.642
0.672 0.543 0.641
0.725 0.439 0.641
0.724 0.439 0.641
0.777 0.377 0.641
0.956 0.277 0.641
0.841 0.329 0.641
0.707 0.466 0.641
0.787 0.368 0.641
0.737 0.420 0.641
0.775 0.378 0.640
0.720 0.444 0.640
0.940 0.281 0.640
0.726 0.435 0.640
0.783 0.371 0.640
0.712 0.456 0.640
0.714 0.453 0.640
0.724 0.437 0.640
0.804 0.352 0.640
0.810 0.348 0.640
0.812 0.346 0.640
0.705 0.466 0.640
0.719 0.444 0.640
0.678 0.521 0.639
0.761 0.390 0.639
0.828 0.334 0.639
0.828 0.334 0.639
0.737 0.417 0.639
0.760 0.391 0.639
0.816 0.342 0.639
0.829 0.333 0.639
0.960 0.274 0.639
0.932 0.283 0.639
0.817 0.341 0.639
0.933 0.283 0.639
0.723 0.436 0.639
0.670 0.537 0.639
0.723 0.435 0.638
0.655 0.581 0.638
0.764 0.385 0.638
0.924 0.285 0.638
0.814 0.342 0.638
0.797 0.354 0.638
0.822 0.336 0.638
0.697 0.475 0.637
0.761 0.386 0.637
